     kx              E+_uu           E+_vv           E+_ww           E+_pp
  6.5250000e+01   1.1563656e-03   6.0247688e-04   1.0071302e-03   6.5425678e-03
  6.5500000e+01   1.1403022e-03   5.9979866e-04   9.9469876e-04   6.4909722e-03
  6.5750000e+01   1.1312236e-03   5.9357731e-04   9.9195676e-04   6.4740054e-03
  6.6000000e+01   1.1132200e-03   5.8538909e-04   9.7425304e-04   6.3942387e-03
  6.6250000e+01   1.1081585e-03   5.8257191e-04   9.6676134e-04   6.3318862e-03
  6.6500000e+01   1.0913166e-03   5.7830619e-04   9.5317384e-04   6.2437875e-03
  6.6750000e+01   1.0788515e-03   5.7567382e-04   9.4411972e-04   6.1625010e-03
  6.7000000e+01   1.0679696e-03   5.6823542e-04   9.3650561e-04   6.1143107e-03
  6.7250000e+01   1.0554576e-03   5.6006281e-04   9.2707600e-04   6.0485307e-03
  6.7500000e+01   1.0393588e-03   5.5731046e-04   9.2081028e-04   5.9988759e-03
  6.7750000e+01   1.0262273e-03   5.5097856e-04   9.0711175e-04   5.9501308e-03
  6.8000000e+01   1.0228113e-03   5.4879760e-04   8.9949186e-04   5.8905974e-03
  6.8250000e+01   1.0082196e-03   5.4474077e-04   8.8670173e-04   5.8236662e-03
  6.8500000e+01   1.0011421e-03   5.4071482e-04   8.8427973e-04   5.7687412e-03
  6.8750000e+01   9.8566655e-04   5.3791495e-04   8.6781789e-04   5.6994169e-03
  6.9000000e+01   9.7627526e-04   5.2830618e-04   8.6298672e-04   5.6131610e-03
  6.9250000e+01   9.6690528e-04   5.2606024e-04   8.5966504e-04   5.5974540e-03
  6.9500000e+01   9.5399225e-04   5.2220743e-04   8.4374863e-04   5.5609336e-03
  6.9750000e+01   9.4599921e-04   5.2011262e-04   8.3769962e-04   5.4946650e-03
  7.0000000e+01   9.3335145e-04   5.1600543e-04   8.2467389e-04   5.4471562e-03
  7.0250000e+01   9.2706852e-04   5.1006375e-04   8.1789044e-04   5.3731390e-03
  7.0500000e+01   9.1465471e-04   5.0457818e-04   8.1032158e-04   5.2981416e-03
  7.0750000e+01   9.0806145e-04   5.0012056e-04   8.0060502e-04   5.2670751e-03
  7.1000000e+01   8.9715266e-04   4.9923812e-04   7.9578564e-04   5.2326623e-03
  7.1250000e+01   8.8580899e-04   4.9395702e-04   7.8510648e-04   5.1593650e-03
  7.1500000e+01   8.7818605e-04   4.8849412e-04   7.7882199e-04   5.1030362e-03
  7.1750000e+01   8.6996729e-04   4.8679711e-04   7.7175298e-04   5.0899529e-03
  7.2000000e+01   8.5888179e-04   4.8269202e-04   7.6417024e-04   5.0396425e-03
  7.2250000e+01   8.4846396e-04   4.7655788e-04   7.5429812e-04   4.9663063e-03
  7.2500000e+01   8.4006719e-04   4.7020686e-04   7.4906185e-04   4.9081296e-03
  7.2750000e+01   8.3068916e-04   4.6845123e-04   7.3959498e-04   4.8639005e-03
  7.3000000e+01   8.2319459e-04   4.6641550e-04   7.3041843e-04   4.8328553e-03
  7.3250000e+01   8.1261237e-04   4.6045120e-04   7.2503647e-04   4.7531372e-03
  7.3500000e+01   8.0462663e-04   4.5856546e-04   7.1829246e-04   4.7376798e-03
  7.3750000e+01   7.9721579e-04   4.5447891e-04   7.0943097e-04   4.7043624e-03
  7.4000000e+01   7.8922984e-04   4.5089935e-04   7.0305730e-04   4.6470860e-03
  7.4250000e+01   7.7909352e-04   4.4797826e-04   6.9756803e-04   4.5811272e-03
  7.4500000e+01   7.6650727e-04   4.4202762e-04   6.8793079e-04   4.5423709e-03
